fiyat;marka;seri;model;yil;km;vites;yakit;kasa;renk;motorHacmi;motorGucu;cekis;yakitTuketimi;yakitDeposu;boyaDegisen;takas;kimden
1.100.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2014;201.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;5 boyalı;Takasa Uygun;Sahibinden
1.675.000 TL;Audi;A3;A3 Sedan 35 TFSI Sport;2020;37.000 km;Yarı Otomatik;Benzin;Sedan;Siyah;1498 cc;150 hp;Önden Çekiş;5,1 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
820.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambition;2012;162.000 km;Yarı Otomatik;Dizel;Hatchback/3;Beyaz;1598 cc;105 hp;Önden Çekiş;3,8 lt;50 lt;Belirtilmemiş;-;Sahibinden
1.100.000 TL;Audi;A3;A3 Sportback 1.0 TFSI Design Line;2017;86.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;116 hp;Önden Çekiş;4,5 lt;50 lt;Tamamı orjinal;Takasa Uygun;Sahibinden
1.020.900 TL;Audi;A3;A3 Sportback 1.6 TDI Dynamic;2017;109.000 km;Otomatik;Dizel;Hatchback/5;Gri;1401 - 1600 cm3;101 - 125 HP;Önden Çekiş;-;-;4 boyalı;Takasa Uygun;Galeriden
1.180.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambiente;2016;118.000 km;Yarı Otomatik;Dizel;Hatchback/5;Siyah;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;-;Sahibinden
1.050.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambiente;2015;119.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Sahibinden
859.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambiente;2013;218.000 km;Yarı Otomatik;Dizel;Hatchback/5;Siyah;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
555.000 TL;Audi;A3;A3 Sportback 1.6 Ambiente;2010;264.000 km;Yarı Otomatik;Benzin;Hatchback/3;Siyah;1595 cc;102 hp;Önden Çekiş;6,7 lt;55 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.050.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2016;178.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;2 değişen, 5 boyalı;Takasa Uygun;Galeriden
620.000 TL;Audi;A3;A3 Sportback 1.6 Attraction;2007;330.000 km;Otomatik;LPG & Benzin;Hatchback/5;Siyah;1595 cc;101 hp;Önden Çekiş;8,6 lt;55 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.200.000 TL;Audi;A3;A3 Sedan 1.6 TDI Sport Line;2016;180.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.000.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2014;149.500 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
534.900 TL;Audi;A3;A3 Sportback 1.4 TFSI Attraction;2009;258.000 km;Düz;Benzin;Hatchback/5;Beyaz;1390 cc;125 hp;Önden Çekiş;6 lt;55 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
945.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambiente;2014;171.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
954.850 TL;Audi;A3;A3 Sportback 1.6 TDI Ambiente;2013;183.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.159.900 TL;Audi;A3;A3 Sedan 35 TFSI Dynamic;2020;119.000 km;Yarı Otomatik;Benzin;Sedan;Beyaz;1498 cc;150 hp;Önden Çekiş;5,1 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
894.000 TL;Audi;A3;A3 Sedan 1.4 TFSI Attraction;2013;231.000 km;Yarı Otomatik;Benzin;Sedan;Siyah;1395 cc;140 hp;Önden Çekiş;4,7 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
985.000 TL;Audi;A3;A3 Sedan 1.6 TDI Design Line;2017;205.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;1 değişen, 1 boyalı;Takasa Uygun;Sahibinden
1.090.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2016;127.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;3 boyalı;-;Sahibinden
900.000 TL;Audi;A3;A3 Sportback 1.6 TDI Sport Line;2013;240.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;110 hp;Önden Çekiş;3,8 lt;50 lt;1 değişen, 1 boyalı;-;Sahibinden
1.150.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2017;179.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;116 hp;Önden Çekiş;3,9 lt;50 lt;2 boyalı;Takasa Uygun Değil;Sahibinden
835.000 TL;Audi;A3;A3 Sedan 1.6 TDI Attraction;2013;283.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
830.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambiente;2014;148.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;5 değişen, 4 boyalı;Takasa Uygun;Sahibinden
717.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2012;188.000 km;Otomatik;Dizel;Hatchback/5;Gri;1401 - 1600 cm3;101 - 125 HP;Önden Çekiş;Belirtilmemiş;-;-;Takasa Uygun Değil;Sahibinden
1.680.000 TL;Audi;A3;A3 Sedan 35 TFSI Sport;2021;37.000 km;Yarı Otomatik;Benzin;Sedan;Lacivert;1498 cc;150 hp;Önden Çekiş;5,1 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.200.000 TL;Audi;A3;A3 Sedan 1.6 TDI S Line;2015;355.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Sahibinden
820.000 TL;Audi;A3;A3 Sportback 1.6 Ambiente;2010;185.000 km;Otomatik;Benzin;Hatchback/3;Beyaz;1595 cc;102 hp;Önden Çekiş;7,6 lt;55 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.090.000 TL;Audi;A3;A3 Sedan 1.6 TDI Attraction;2015;187.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;Takasa Uygun;Sahibinden
1.000.000 TL;Audi;A3;A3 Sedan 1.6 TDI Attraction;2015;118.500 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;3 boyalı;Takasa Uygun;Sahibinden
1.950.000 TL;Audi;A3;A3 Sedan 35 TFSI Sport;2023;12.000 km;Otomatik;Benzin;Sedan;Siyah;-;-;-;-;-;Tamamı orjinal;-;Sahibinden
933.750 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2015;199.810 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;Takasa Uygun Değil;Yetkili Bayiden
930.000 TL;Audi;A3;A3 Sportback 1.6 TDI Sport Line;2014;260.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;110 hp;Önden Çekiş;3,8 lt;50 lt;2 boyalı;-;Sahibinden
1.110.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2016;89.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Sahibinden
1.150.000 TL;Audi;A3;A3 Sportback 1.0 TFSI Design Line;2017;155.000 km;Yarı Otomatik;Benzin;Hatchback/5;Füme;999 cc;116 hp;Önden Çekiş;4,5 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Sahibinden
1.125.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2017;176.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;116 hp;Önden Çekiş;4 lt;50 lt;Takasa Uygun;Takasa Uygun;Galeriden
1.200.000 TL;Audi;A3;A3 Sportback 30 TDI Dynamic;2019;110.000 km;Yarı Otomatik;Dizel;Hatchback/5;Füme;1598 cc;116 hp;Önden Çekiş;4 lt;50 lt;2 boyalı;Takasa Uygun;Galeriden
1.150.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2015;151.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.150.000 TL;Audi;A3;A3 Sportback 1.6 TDI Design Line;2016;116.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;110 hp;Önden Çekiş;3,8 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
397.750 TL;Audi;A3;A3 Sportback 1.6 Standart;2005;217.000 km;Düz;Benzin;Hatchback/3;Mavi;1595 cc;102 hp;Önden Çekiş;7 lt;55 lt;4 değişen, 4 boyalı;Takasa Uygun;Galeriden
1.045.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2015;106.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
749.000 TL;Audi;A3;A3 Sportback 1.4 TFSI Ambiente;2011;200.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1390 cc;125 hp;Önden Çekiş;5,8 lt;55 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.235.000 TL;Audi;A3;A3 Sedan 1.0 TFSI Dynamic;2017;94.100 km;Yarı Otomatik;Benzin;Sedan;Siyah;999 cc;116 hp;Önden Çekiş;4,4 lt;50 lt;1 değişen;Takasa Uygun Değil;Galeriden
1.200.000 TL;Audi;A3;A3 Sedan 1.6 TDI Attraction;2016;100.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Sahibinden
895.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambition;2014;169.000 km;Otomatik;Dizel;Hatchback/5;Beyaz;1401 - 1600 cm3;101 - 125 HP;Önden Çekiş;Belirtilmemiş;-;-;Takasa Uygun;Galeriden
1.299.750 TL;Audi;A3;A3 Sportback 35 TFSI Dynamic;2020;28.000 km;Yarı Otomatik;Benzin;Hatchback/5;Füme;1498 cc;150 hp;Önden Çekiş;4,9 lt;50 lt;Tamamı orjinal;-;Sahibinden
685.000 TL;Audi;A3;A3 Sportback 1.6 Attraction;2009;185.000 km;Düz;LPG & Benzin;Hatchback/5;Gri;-;-;-;-;-;2 boyalı;-;Sahibinden
1.180.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2016;132.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Belirtilmemiş;Takasa Uygun;Sahibinden
1.075.000 TL;Audi;A3;A3 Sedan 1.6 TDI Design Line;2017;146.750 km;Yarı Otomatik;Dizel;Sedan;Mavi;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;3 boyalı;-;Sahibinden
860.000 TL;Audi;A3;A3 Sportback 1.2 TFSI Attraction;2015;183.000 km;Düz;Benzin;Hatchback/5;Beyaz;1197 cc;110 hp;Önden Çekiş;5 lt;50 lt;Belirtilmemiş;-;Sahibinden
1.020.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2015;233.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;2 boyalı;-;Sahibinden
350.000 TL;Audi;A3;A3 Sportback 1.6 Ambiente;2000;230.000 km;Otomatik;LPG & Benzin;Hatchback/3;Siyah;1595 cc;102 hp;Önden Çekiş;8 lt;55 lt;5 boyalı;-;Sahibinden
1.150.000 TL;Audi;A3;A3 Sedan 1.6 TDI Design Line;2018;62.500 km;Yarı Otomatik;Dizel;Sedan;Gri;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Tamamı orjinal;-;Sahibinden
833.750 TL;Audi;A3;A3 Sportback 1.4 TFSI Attraction;2010;145.000 km;Düz;Benzin;Hatchback/3;Gri (Gümüş);1390 cc;125 hp;Önden Çekiş;5,9 lt;55 lt;Belirtilmemiş;-;Sahibinden
649.000 TL;Audi;A3;A3 Sportback 1.6 Sportback Ambition;2007;242.000 km;Otomatik;LPG & Benzin;Hatchback/5;Füme;1595 cc;102 hp;Önden Çekiş;7,6 lt;55 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
1.100.000 TL;Audi;A3;A3 Sportback 1.0 TFSI Dynamic;2018;71.000 km;Yarı Otomatik;Benzin;Hatchback/5;Gri;999 cc;116 hp;Önden Çekiş;4,5 lt;50 lt;2 boyalı;Takasa Uygun Değil;Sahibinden
1.177.500 TL;Audi;A3;A3 Sedan 1.6 TDI Design Line;2016;129.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
1.100.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambition;2014;130.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
440.000 TL;Audi;A3;A3 Sportback 1.6 Ambiente;2006;360.000 km;Düz;Benzin;Hatchback/3;Siyah;1595 cc;101 hp;Önden Çekiş;7,6 lt;55 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
1.244.950 TL;Audi;A3;A3 Sedan 35 TFSI Dynamic;2020;46.600 km;Yarı Otomatik;Benzin;Sedan;Füme;1498 cc;150 hp;Önden Çekiş;5,1 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
510.000 TL;Audi;A3;A3 Sportback 1.6 FSI;2006;298.000 km;Düz;LPG & Benzin;Hatchback/5;Siyah;1595 cc;115 hp;Önden Çekiş;6,5 lt;55 lt;2 değişen, 5 boyalı;Takasa Uygun;Sahibinden
600.000 TL;Audi;A3;A3 Sportback 1.4 TFSI Ambition;2010;203.500 km;Yarı Otomatik;Benzin;Hatchback/5;Füme;1390 cc;125 hp;Önden Çekiş;5,8 lt;55 lt;5 değişen, 2 boyalı;Takasa Uygun Değil;Sahibinden
700.000 TL;Audi;A3;A3 Sportback 1.4 TFSI;2011;146.700 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1201 - 1400 cm3;101 - 125 HP;Önden Çekiş;-;-;1 değişen, 2 boyalı;Takasa Uygun Değil;Sahibinden
1.080.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2014;150.000 km;Yarı Otomatik;Dizel;Sedan;Kırmızı;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;Takasa Uygun;Sahibinden
1.419.000 TL;Audi;A3;A3 Sportback 35 TFSI S-Line;2021;66.000 km;Yarı Otomatik;Hibrit;Hatchback/5;Füme;1498 cc;150 hp;Önden Çekiş;5 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
820.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2013;245.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;-;Sahibinden
510.000 TL;Audi;A3;A3 Sportback 1.6 Sportback Ambiente;2007;270.000 km;Otomatik;LPG & Benzin;Hatchback/5;Siyah;1595 cc;102 hp;Önden Çekiş;7,6 lt;55 lt;9 boyalı;Takasa Uygun Değil;Sahibinden
895.000 TL;Audi;A3;A3 Sedan 1.6 TDI Attraction;2014;135.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
750.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2012;108.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;105 hp;Önden Çekiş;4,3 lt;55 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
1.135.000 TL;Audi;A3;A3 Sedan 1.6 TDI Design Line;2018;135.700 km;Yarı Otomatik;Dizel;Sedan;Mavi;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
1.150.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2014;140.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
527.000 TL;Audi;A3;A3 Sportback 1.6 FSI;2006;260.000 km;Düz;Benzin;Hatchback/5;Siyah;1595 cc;115 hp;Önden Çekiş;6,5 lt;55 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.479.500 TL;Audi;A3;A3 Sedan 35 TFSI Advanced;2022;48.500 km;Yarı Otomatik;Benzin;Sedan;Siyah;1498 cc;150 hp;-;Belirtilmemiş;-;-;Takasa Uygun;Galeriden
1.217.000 TL;Audi;A3;A3 Sedan 1.6 TDI Design Line;2018;129.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
899.500 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2017;100.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.050.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2014;150.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;-;Sahibinden
1.082.950 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2017;131.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;116 hp;Önden Çekiş;3,9 lt;50 lt;4 boyalı;Takasa Uygun;Galeriden
895.000 TL;Audi;A3;A3 Sportback 1.4 TFSI Ambition;2010;98.000 km;Yarı Otomatik;Benzin;Hatchback/5;Siyah;1390 cc;125 hp;Önden Çekiş;5,8 lt;55 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
425.000 TL;Audi;A3;A3 Sportback 1.6 Ambiente;2006;220.000 km;Otomatik;Benzin;Hatchback/3;Siyah;1595 cc;102 hp;Önden Çekiş;7,6 lt;55 lt;2 değişen, 5 boyalı;Takasa Uygun Değil;Sahibinden
945.750 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2015;167.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;4 boyalı;Takasa Uygun;Galeriden
709.000 TL;Audi;A3;A3 Sportback 1.4 TFSI Ambition;2010;163.000 km;Yarı Otomatik;Benzin;Hatchback/3;Beyaz;1390 cc;125 hp;Önden Çekiş;5,6 lt;55 lt;Belirtilmemiş;-;Sahibinden
1.225.000 TL;Audi;A3;A3 Sportback 1.0 TFSI Dynamic;2016;65.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;116 hp;Önden Çekiş;4,5 lt;50 lt;Tamamı orjinal;-;Sahibinden
560.000 TL;Audi;A3;A3 Sportback 1.6 Sportback Ambiente;2007;260.000 km;Otomatik;LPG & Benzin;Hatchback/5;Gri (Gümüş);1595 cc;102 hp;Önden Çekiş;7,6 lt;55 lt;4 değişen, 8 boyalı;Takasa Uygun;Sahibinden
680.000 TL;Audi;A3;A3 Sportback 1.6 Sportback Ambition;2009;300.000 km;Düz;LPG & Benzin;-;Hatchback/5;1595 cc;102 hp;Önden Çekiş;7 lt;55 lt;5 boyalı;-;Sahibinden
649.000 TL;Audi;A3;A3 Sportback 1.4 TFSI Ambiente;2010;264.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1390 cc;125 hp;Önden Çekiş;5,8 lt;55 lt;2 boyalı;Takasa Uygun;Sahibinden
1.105.000 TL;Audi;A3;A3 Sportback 1.6 TDI Sport Line;2015;189.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;110 hp;Önden Çekiş;3,8 lt;50 lt;Belirtilmemiş;-;Sahibinden
1.035.000 TL;Audi;A3;A3 Sedan 1.6 TDI Design Line;2016;208.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;4 değişen, 2 boyalı;Takasa Uygun;Galeriden
1.589.000 TL;Audi;A3;A3 Sedan 35 TFSI Advanced;2022;35.000 km;Yarı Otomatik;Hibrit;Sedan;Beyaz;1498 cc;150 hp;Önden Çekiş;4,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.095.000 TL;Audi;A3;A3 Sportback 1.0 TFSI Dynamic;2017;64.000 km;Yarı Otomatik;Benzin;Hatchback/5;Lacivert;999 cc;116 hp;Önden Çekiş;4,5 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
699.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2011;171.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;105 hp;Önden Çekiş;4,3 lt;55 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.490.000 TL;Audi;A3;A3 Sedan 35 TFSI Advanced;2021;26.432 km;Yarı Otomatik;Benzin;Sedan;Gri;1498 cc;150 hp;-;Belirtilmemiş;-;-;Takasa Uygun;Yetkili Bayiden
1.089.500 TL;Audi;A3;A3 Sedan 35 TFSI Dynamic;2020;109.000 km;Yarı Otomatik;Benzin;Sedan;Beyaz;1498 cc;150 hp;Önden Çekiş;5,1 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.190.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2018;120.000 km;Otomatik;Dizel;Sedan;Lacivert;1598 cc;116 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
575.000 TL;Audi;A3;A3 Sportback 1.6 Sportback Ambiente;2006;235.000 km;Otomatik;LPG & Benzin;Hatchback/5;Siyah;1595 cc;102 hp;Önden Çekiş;7,6 lt;55 lt;1 değişen, 3 boyalı;Takasa Uygun;Galeriden
1.145.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2017;218.800 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;4 boyalı;Takasa Uygun Değil;Galeriden
995.000 TL;Audi;A3;A3 Sedan 1.6 TDI;2017;197.384 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.230.000 TL;Audi;A3;A3 Sportback 35 TFSI Dynamic;2020;55.000 km;Yarı Otomatik;Benzin;Hatchback/5;Lacivert;1498 cc;150 hp;Önden Çekiş;4,9 lt;50 lt;1 değişen, 1 boyalı;Takasa Uygun;Galeriden
1.195.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambiente;2016;128.000 km;Yarı Otomatik;Dizel;Sedan;Kırmızı;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Sahibinden
1.260.000 TL;Audi;A3;A3 Sedan 1.6 TDI Attraction;2015;115.800 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;-;Sahibinden
1.238.000 TL;Audi;A3;A3 Sportback 1.0 TFSI Dynamic;2017;76.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;116 hp;Önden Çekiş;4,5 lt;50 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
520.000 TL;Audi;A3;A3 Sportback 1.6 Ambiente;2004;180.000 km;Düz;LPG & Benzin;Hatchback/3;Mavi;1595 cc;101 hp;Önden Çekiş;7,6 lt;55 lt;Belirtilmemiş;-;Sahibinden
1.305.000 TL;Audi;A3;A3 Sedan 1.6 TDI Design Line;2018;52.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;1 boyalı;-;Sahibinden
1.100.000 TL;Audi;A3;A3 Sportback 1.0 TFSI Sport Line;2018;44.500 km;Yarı Otomatik;Benzin;Hatchback/5;Siyah;999 cc;116 hp;Önden Çekiş;4,5 lt;50 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
898.880 TL;Audi;A3;A3 Sportback 1.6 TDI Sport Line;2013;244.000 km;Yarı Otomatik;Dizel;Hatchback/5;Bej;1598 cc;110 hp;Önden Çekiş;3,8 lt;50 lt;2 değişen, 3 boyalı;Takasa Uygun Değil;Sahibinden
855.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambiente;2013;105.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;-;Sahibinden
890.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambiente;2015;160.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;1 değişen, 1 boyalı;Takasa Uygun;Galeriden
605.000 TL;Audi;A3;A3 Sportback 1.6 Attraction;2006;215.000 km;Otomatik;LPG & Benzin;Hatchback/5;Siyah;1595 cc;102 hp;Önden Çekiş;7,6 lt;55 lt;2 değişen, 3 boyalı;Takasa Uygun;Galeriden
1.580.000 TL;Audi;A3;A3 Sedan 1.6 TDI Sport Line;2018;48.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;5 boyalı;Takasa Uygun;Galeriden
1.314.900 TL;Audi;A3;A3 Sportback 35 TFSI Sport;2020;48.000 km;Yarı Otomatik;Benzin;Hatchback/5;Gri;1498 cc;150 hp;Önden Çekiş;5 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
